*x,y,scrap_amount, owner, units, recycler, can_build, can_spawn, in_range_of_recycler
0,0,0,-1,0,0,0,0,0
1,0,6,1,1,0,0,1,0
2,0,6,1,0,0,1,1,0
3,0,10,1,2,0,0,1,0
4,0,8,-1,0,0,0,0,0
5,0,4,-1,0,0,0,0,0
6,0,10,-1,0,0,0,0,0
7,0,10,-1,0,0,0,0,0
8,0,8,-1,0,0,0,0,0
9,0,8,-1,0,0,0,0,0
10,0,10,-1,0,0,0,0,0
11,0,10,-1,0,0,0,0,0
12,0,4,-1,0,0,0,0,0
13,0,8,-1,0,0,0,0,0
14,0,10,0,1,0,0,0,0
15,0,6,0,1,0,0,0,0
16,0,6,0,1,0,0,0,0
17,0,0,-1,0,0,0,0,0
0,1,0,-1,0,0,0,0,0
1,1,10,1,0,0,1,1,0
2,1,6,1,0,0,1,1,0
3,1,4,1,1,0,0,1,0
4,1,0,-1,0,0,0,0,0
5,1,8,-1,0,0,0,0,0
6,1,4,-1,0,0,0,0,0
7,1,6,-1,0,0,0,0,0
8,1,10,-1,0,0,0,0,0
9,1,10,-1,0,0,0,0,0
10,1,6,-1,0,0,0,0,0
11,1,4,-1,0,0,0,0,0
12,1,8,-1,0,0,0,0,0
13,1,0,-1,0,0,0,0,0
14,1,4,0,0,0,0,0,0
15,1,6,0,0,0,0,0,0
16,1,10,0,0,0,0,0,0
17,1,0,-1,0,0,0,0,0
0,2,4,-1,0,0,0,0,0
1,2,8,1,0,0,1,1,0
2,2,1,1,0,0,1,1,0
3,2,8,1,0,0,1,1,0
4,2,8,1,2,0,0,1,0
5,2,9,-1,0,0,0,0,0
6,2,0,-1,0,0,0,0,0
7,2,8,-1,0,0,0,0,0
8,2,6,-1,0,0,0,0,0
9,2,6,-1,0,0,0,0,0
10,2,8,-1,0,0,0,0,0
11,2,0,-1,0,0,0,0,0
12,2,9,-1,0,0,0,0,0
13,2,8,-1,0,0,0,0,0
14,2,8,0,0,0,0,0,0
15,2,1,0,0,0,0,0,0
16,2,8,0,0,0,0,0,0
17,2,4,-1,0,0,0,0,0
0,3,0,-1,0,0,0,0,0
1,3,6,1,0,0,1,1,0
2,3,10,1,0,0,1,1,0
3,3,1,1,0,0,1,1,0
4,3,0,-1,0,0,0,0,0
5,3,9,-1,0,0,0,0,0
6,3,8,-1,0,0,0,0,0
7,3,8,-1,0,0,0,0,0
8,3,10,-1,0,0,0,0,0
9,3,10,-1,0,0,0,0,0
10,3,8,-1,0,0,0,0,0
11,3,8,-1,0,0,0,0,0
12,3,9,-1,0,0,0,0,0
13,3,0,-1,0,0,0,0,0
14,3,1,0,0,0,0,0,0
15,3,8,0,0,0,0,0,1
16,3,6,0,0,0,0,0,0
17,3,0,-1,0,0,0,0,0
0,4,8,-1,0,0,0,0,0
1,4,10,-1,0,0,0,0,0
2,4,8,1,0,0,1,1,0
3,4,9,1,0,0,1,1,0
4,4,8,1,0,0,1,1,0
5,4,9,1,1,0,0,1,0
6,4,10,-1,0,0,0,0,0
7,4,8,-1,0,0,0,0,0
8,4,0,-1,0,0,0,0,0
9,4,0,-1,0,0,0,0,0
10,4,8,-1,0,0,0,0,0
11,4,10,-1,0,0,0,0,0
12,4,9,-1,0,0,0,0,0
13,4,8,-1,0,0,0,0,0
14,4,7,0,0,0,0,0,1
15,4,6,0,0,1,0,0,1
16,4,8,0,0,0,0,0,1
17,4,8,0,0,0,0,0,0
0,5,9,-1,0,0,0,0,0
1,5,0,-1,0,0,0,0,0
2,5,0,-1,0,0,0,0,0
3,5,8,-1,0,0,0,0,0
4,5,6,-1,0,0,0,0,0
5,5,8,-1,0,0,0,0,0
6,5,8,-1,0,0,0,0,0
7,5,10,-1,0,0,0,0,0
8,5,4,-1,0,0,0,0,0
9,5,4,-1,0,0,0,0,0
10,5,10,-1,0,0,0,0,0
11,5,8,-1,0,0,0,0,0
12,5,8,-1,0,0,0,0,0
13,5,6,0,1,0,0,0,0
14,5,8,0,1,0,0,0,0
15,5,0,-1,0,0,0,0,0
16,5,0,-1,0,0,0,0,0
17,5,9,0,1,0,0,0,0
0,6,4,-1,0,0,0,0,0
1,6,4,-1,0,0,0,0,0
2,6,6,-1,0,0,0,0,0
3,6,4,-1,0,0,0,0,0
4,6,10,-1,0,0,0,0,0
5,6,8,-1,0,0,0,0,0
6,6,8,-1,0,0,0,0,0
7,6,4,-1,0,0,0,0,0
8,6,8,-1,0,0,0,0,0
9,6,8,-1,0,0,0,0,0
10,6,4,-1,0,0,0,0,0
11,6,8,-1,0,0,0,0,0
12,6,8,-1,0,0,0,0,0
13,6,10,-1,0,0,0,0,0
14,6,4,-1,0,0,0,0,0
15,6,6,-1,0,0,0,0,0
16,6,4,-1,0,0,0,0,0
17,6,4,-1,0,0,0,0,0
0,7,0,-1,0,0,0,0,0
1,7,0,-1,0,0,0,0,0
2,7,0,-1,0,0,0,0,0
3,7,4,-1,0,0,0,0,0
4,7,8,-1,0,0,0,0,0
5,7,10,-1,0,0,0,0,0
6,7,6,-1,0,0,0,0,0
7,7,8,-1,0,0,0,0,0
8,7,9,-1,0,0,0,0,0
9,7,9,-1,0,0,0,0,0
10,7,8,-1,0,0,0,0,0
11,7,6,-1,0,0,0,0,0
12,7,10,-1,0,0,0,0,0
13,7,8,-1,0,0,0,0,0
14,7,4,-1,0,0,0,0,0
15,7,0,-1,0,0,0,0,0
16,7,0,-1,0,0,0,0,0
17,7,0,-1,0,0,0,0,0
0,8,4,-1,0,0,0,0,0
1,8,8,-1,0,0,0,0,0
2,8,4,-1,0,0,0,0,0
3,8,4,-1,0,0,0,0,0
4,8,0,-1,0,0,0,0,0
5,8,8,-1,0,0,0,0,0
6,8,8,-1,0,0,0,0,0
7,8,6,-1,0,0,0,0,0
8,8,8,-1,0,0,0,0,0
9,8,8,-1,0,0,0,0,0
10,8,6,-1,0,0,0,0,0
11,8,8,-1,0,0,0,0,0
12,8,8,-1,0,0,0,0,0
13,8,0,-1,0,0,0,0,0
14,8,4,-1,0,0,0,0,0
15,8,4,-1,0,0,0,0,0
16,8,8,-1,0,0,0,0,0
17,8,4,-1,0,0,0,0,0
