*id,type,1,2,3,4,5
0,FACTORY,1,8,3,0,0
1,FACTORY,1,5,3,0,0
2,FACTORY,-1,3,3,0,0
3,FACTORY,1,2,2,0,0
4,FACTORY,-1,3,3,0,0
5,FACTORY,1,2,2,0,0
6,FACTORY,-1,3,3,0,0
128,TROOP,-1,4,0,3,1
134,TROOP,-1,4,0,3,2
140,TROOP,-1,4,0,3,3
141,TROOP,1,1,0,5,1
142,TROOP,1,5,0,4,1
144,TROOP,-1,2,0,3,1
145,TROOP,-1,6,0,3,1
146,TROOP,-1,4,0,3,4
147,TROOP,1,1,0,7,2
148,TROOP,1,5,0,2,2
150,TROOP,-1,2,0,3,2
151,TROOP,-1,6,0,3,2
152,TROOP,-1,4,0,3,5
153,TROOP,1,1,0,3,3
154,TROOP,1,5,0,2,3
155,TROOP,1,3,1,2,1
156,TROOP,1,1,3,2,1
157,TROOP,-1,2,0,3,3
158,TROOP,-1,6,0,3,3
159,TROOP,-1,4,0,3,6 
